NOC,Gold,Silver,Bronze,Total,source_file
ALB,0,0,2,2,Paris 2024 Olympics_Nations Medals.csv
GRN,0,0,2,2,Paris 2024 Olympics_Nations Medals.csv
PUR,0,0,2,2,Paris 2024 Olympics_Nations Medals.csv
MAS,0,0,2,2,Paris 2024 Olympics_Nations Medals.csv
CPV,0,0,1,1,Paris 2024 Olympics_Nations Medals.csv
QAT,0,0,1,1,Paris 2024 Olympics_Nations Medals.csv
ZAM,0,0,1,1,Paris 2024 Olympics_Nations Medals.csv
SIN,0,0,1,1,Paris 2024 Olympics_Nations Medals.csv
CIV,0,0,1,1,Paris 2024 Olympics_Nations Medals.csv
ROT,0,0,1,1,Paris 2024 Olympics_Nations Medals.csv
PER,0,0,1,1,Paris 2024 Olympics_Nations Medals.csv
SVK,0,0,1,1,Paris 2024 Olympics_Nations Medals.csv
NOR,14,14,11,39,PyeongChang 2018 Olympics Nations Medals.csv
GER,14,10,7,31,PyeongChang 2018 Olympics Nations Medals.csv
CAN,11,8,10,29,PyeongChang 2018 Olympics Nations Medals.csv
USA,9,8,6,23,PyeongChang 2018 Olympics Nations Medals.csv
NED,8,6,6,20,PyeongChang 2018 Olympics Nations Medals.csv
SWE,7,6,1,14,PyeongChang 2018 Olympics Nations Medals.csv
KOR,5,8,4,17,PyeongChang 2018 Olympics Nations Medals.csv
SUI,5,6,4,15,PyeongChang 2018 Olympics Nations Medals.csv
